HEADER_TIME_STAMP,X,Y,Z
2000-01-08 20:24:59.988,0.927,1.894,0.672
2000-01-08 20:25:00.000,1.246,1.824,0.639
2000-01-08 20:25:00.013,1.158,1.56,0.83
2000-01-08 20:25:00.024,1.249,1.287,1.026
2000-01-08 20:25:00.037,1.51,0.962,1.264
2000-01-08 20:25:00.049,1.434,0.642,1.349
2000-01-08 20:25:00.062,1.575,0.44,1.276
2000-01-08 20:25:00.075,1.425,0.296,1.103
2000-01-08 20:25:00.088,1.132,0.17,0.959
2000-01-08 20:25:00.100,1.185,0.232,0.859
2000-01-08 20:25:00.113,1.15,0.279,0.739
2000-01-08 20:25:00.125,1.12,0.311,0.669
2000-01-08 20:25:00.138,1.07,0.372,0.572
2000-01-08 20:25:00.149,0.982,0.484,0.446
2000-01-08 20:25:00.162,0.686,0.569,0.217
2000-01-08 20:25:00.174,0.337,0.61,0.056
2000-01-08 20:25:00.187,0.337,0.713,0.038
2000-01-08 20:25:00.200,0.713,0.856,0.194
2000-01-08 20:25:00.213,1.155,0.906,0.346
2000-01-08 20:25:00.225,1.214,0.824,0.361
2000-01-08 20:25:00.238,0.909,0.765,0.463
2000-01-08 20:25:00.250,0.713,0.821,0.273
2000-01-08 20:25:00.263,0.886,0.848,0.223
2000-01-08 20:25:00.274,1.205,0.836,0.287
2000-01-08 20:25:00.287,1.264,0.804,0.446
2000-01-08 20:25:00.299,0.968,0.809,0.718
2000-01-08 20:25:00.312,0.437,0.889,0.988
2000-01-08 20:25:00.325,-0.088,1.044,1.217
2000-01-08 20:25:00.338,-0.475,1.223,1.39
2000-01-08 20:25:00.350,-0.71,1.352,1.372
2000-01-08 20:25:00.363,-0.713,1.399,1.199
2000-01-08 20:25:00.375,-0.598,1.328,0.988
2000-01-08 20:25:00.388,-0.522,1.238,0.809
2000-01-08 20:25:00.399,-0.519,1.17,0.672
2000-01-08 20:25:00.412,-0.569,1.141,0.584
2000-01-08 20:25:00.424,-0.578,1.114,0.543
2000-01-08 20:25:00.437,-0.463,1.047,0.499
2000-01-08 20:25:00.450,-0.255,1.009,0.487
2000-01-08 20:25:00.463,-0.018,1.003,0.501
2000-01-08 20:25:00.475,0.179,1.018,0.481
2000-01-08 20:25:00.488,0.328,1.018,0.425
2000-01-08 20:25:00.500,0.44,1.009,0.328
2000-01-08 20:25:00.513,0.484,1.003,0.217
2000-01-08 20:25:00.524,0.449,1.029,0.15
2000-01-08 20:25:00.537,0.44,1.079,0.103
2000-01-08 20:25:00.549,0.452,1.135,0.109
2000-01-08 20:25:00.562,0.425,1.167,0.126
2000-01-08 20:25:00.575,0.411,1.164,0.053
2000-01-08 20:25:00.588,0.402,1.217,-0.446
2000-01-08 20:25:00.600,0.607,1.587,-0.839
2000-01-08 20:25:00.613,1.446,2.255,-1.123
2000-01-08 20:25:00.625,2.692,2.956,-1.085
2000-01-08 20:25:00.638,2.985,2.592,-0.918
2000-01-08 20:25:00.649,1.1,0.457,-0.801
2000-01-08 20:25:00.662,-0.548,0.041,-0.232
2000-01-08 20:25:00.674,-0.889,1.252,0.191
